context_id,id,context,claim,evidence_text,response_label,pronoun_info,referent_info
fdt__31___3,fdt__31___3--0,"[""I used to be a cheerleader in high school, it was really fun."", ""Oh, really? So you would encourage your team via cheering?"", ""Yep. I quit before it got really serious. Cheerleading is also a sport of its own! I would rather watch Shrek than spend that much time practicing cheerleading."", ""Shrek prides himself for his green, foulness, would you say you are as confident as Shrek with your cheerleading?"", ""Shrek was a fun character, I'm not sure about his level of confidence but I liked this movie."", ""Have you ever seen Shrek The Musical? Jeanine Tesori did the music for it."", ""That's awesome, I've never seen this musical but I wish I had seen it. I'm not familiar with Jeanine Tesori.""]","Yep she is a composer and arranger, what's the difference though really?","Jeanine Tesori (born November 10, 1961, known earlier in her career as Jeanine Levenson) is an American composer and musical arranger.",HALLUCINATION,"{""surface"": ""she"", ""span"": [4, 7]}","{""mentions"": [{""surface"": ""Jeanine Tesori"", ""span"": [5, 38, 52]}, {""surface"": ""Jeanine Tesori"", ""span"": [6, 93, 107]}]}"
fdt__32___0,fdt__32___0--0,"[""Have you ever heard of Insane Clown Posse?""]","of course, It is an American hip hop duo composed of Joseph Bruce and Shaggy",Insane Clown Posse (ICP) is an American hip hop duo composed of Violent J (Joseph Bruce) and Shaggy 2 Dope (originally 2 Dope; Joseph Utsler).,NON-HALLUCINATION,"{""surface"": ""It"", ""span"": [11, 13]}","{""mentions"": [{""surface"": ""Insane Clown Posse"", ""span"": [0, 23, 41]}]}"
fdt__34___2,fdt__34___2--0,"[""I hated accounting in college, I was terrible at it."", ""Oh well. I know of accounting as the processing, measurement and reporting of financial information to some sort of economic entity. What accounting material did you do in college?"", ""Only took two course for my business degree because it was required."", ""Financial reporting and accounting as synonymous as a field of study."", ""OK. I just learned basic knowledge, but it was a brutal year, to say the least.""]",Yeah! It has to do with complex calculation of various items on the Debit and Credit column according to the  Financial Accounting Standards Board (FASB,"The Financial Accounting Standards Board (FASB) is a private, non-profit organization standard setting body whose primary purpose is to establish and improve generally accepted accounting principles (GAAP) within the United States in the public's interest.",HALLUCINATION,"{""surface"": ""It"", ""span"": [6, 8]}","{""mentions"": [{""surface"": ""accounting"", ""span"": [0, 8, 18]}, {""surface"": ""accounting"", ""span"": [1, 19, 29]}, {""surface"": ""Financial reporting and accounting"", ""span"": [3, 0, 34]}]}"
fdt__35___0,fdt__35___0--0,"[""Harry Potter is one of the enduring books that has ever been written in the modern history. Words can describe how fascinated I am by this novel""]",Harry Potter was created by JK Rowling.  Do you like it.,Harry Potter is a series of fantasy novels written by British author J. K. Rowling.,NON-HALLUCINATION,"{""surface"": ""it"", ""span"": [53, 55]}","{""mentions"": [{""surface"": ""Harry Potter"", ""span"": [0, 0, 12]}]}"
fdt__37___0,fdt__37___0--0,"[""I used to love The Walking Dead, but it's been forever since I've watched an episode.  I'm so far behind!""]",yeah it's such a cool post-apocalyptic tv series,"The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",HALLUCINATION,"{""surface"": ""it"", ""span"": [5, 7]}","{""mentions"": [{""surface"": ""Walking Dead"", ""span"": [0, 19, 31]}]}"
fdt__39___2,fdt__39___2--0,"[""Online shopping in the modern day is insane, we take it for granted every day"", ""Why do you think that ? You can buy goods or services directly from a seller using a web browser with online shopping."", ""It is just a feeling that I have, I tried to buy something from the Alibaba Group once and it was insane"", ""So you already know the Alibaba Group, it is, in terms of total sales, the largest internet retailer on the globe"", ""I didn't know it was so big, I like to buy there during Black Friday""]",I love how we can do so much of our black friday shopping now online as well.  It is way easier than fighting lines,"Black Friday is an informal name for the day following Thanksgiving Day in the United States, the fourth Thursday of November, which has been regarded as the beginning of the country's Christmas shopping season since 1952.",HALLUCINATION,"{""surface"": ""It"", ""span"": [79, 81]}","{""mentions"": [{""surface"": ""Online shopping"", ""span"": [0, 0, 15]}, {""surface"": ""online shopping"", ""span"": [1, 102, 117]}]}"
fdt__41___1,fdt__41___1--0,"[""I have family in Ireland!  Have you ever been there?"", ""No, I'm a bot that can't travel. I know that it's in the North Atlantic, though."", ""It is near England, right?""]","I think so...It's an island in the North Atlantic, and I think the third largest in Europe.",Ireland is the third-largest island in Europe.,HALLUCINATION,"{""surface"": ""It"", ""span"": [13, 15]}","{""mentions"": [{""surface"": ""Ireland"", ""span"": [0, 17, 24]}]}"
fdt__44___0,fdt__44___0--0,"[""Hey. Are you caught up on the walking dead?""]",Hey there! I am! A lot of it actually takes place around Atlanta Georgia?,"Much of the series takes place in and around Atlanta, Georgia, and later Alexandria, Virginia.",HALLUCINATION,"{""surface"": ""it"", ""span"": [26, 28]}","{""mentions"": [{""surface"": ""the walking dead"", ""span"": [0, 26, 42]}]}"
fdt__45___0,fdt__45___0--0,"[""Winter is the best time of year. The cold crisp air. The blanket of snow on the farm land. Don't you agree?""]","I don't agree! I hate winter- it's the coldest season, and where I live, there is usually so much snow. Yuck!",Winter is the coldest season of the year in polar and temperate zones (winter does not occur in the tropical zone).,HALLUCINATION,"{""surface"": ""it"", ""span"": [30, 32]}","{""mentions"": [{""surface"": ""Winter"", ""span"": [0, 0, 6]}]}"
fdt__47___0,fdt__47___0--0,"[""I love winter, it's my favorite season of the year. What do you like about it?""]",I love winter because it is so cold and cozy.,Winter is the coldest season of the year in polar and temperate zones (winter does not occur in the tropical zone).,HALLUCINATION,"{""surface"": ""it"", ""span"": [22, 24]}","{""mentions"": [{""surface"": ""winter"", ""span"": [0, 7, 13]}]}"
fdt__50___0,fdt__50___0--0,"[""I think that Genghis Khan has a fascinating history""]","Yes, Khan was born circa 1162 and died in 1227. He was the founder of the Mongol Empire.","Genghis Khan or Chinggis Khaan (born Temüjin, c. 1162 August 18, 1227), was the Great Khan and founder of the Mongol Empire, which became the largest contiguous empire in history after his death.",HALLUCINATION,"{""surface"": ""He"", ""span"": [48, 50]}","{""mentions"":[{""surface"": ""Genghis Khan"",""span"":[0,13,25]}]}"
fdt__50___2,fdt__50___2--0,"[""I think that Genghis Khan has a fascinating history"", ""Is that so? I'm aware he was born around 1162 and died in 1227. He was the founder of the Mongol Empire."", ""Didn't that empire stretch over most of the continent and then some?"", ""I don't know about \""and then some\"", but by the time he died, the empire covered much of Central Asia and China."", ""Wow, can you imagine having an empire that large? Did he have children of leaders to help him manage?""]","Yes, he had many descendants that helped him rule much of the Eurasia continent by conquering vassal states.","His descendants extended the Mongol Empire across most of Eurasia by conquering or creating vassal states in all of modern-day China, Korea, the Caucasus, Central Asia, and substantial portions of Eastern Europe and Southwest Asia.",HALLUCINATION,"{""surface"": ""he"", ""span"": [5, 7]}","{""mentions"": [{""surface"": ""Genghis Khan"", ""span"": [0, 13, 25]}]}"
fdt__52___2,fdt__52___2--0,"[""i love hot dogs"", ""That's nice. What do you like to like on yours? Typically people have toppings like ketchup, onions, relish, or other toppings."", ""I like to have all kinds of things. What are hot dogs made from?"", ""I don't know what they're made from in general, but in Alaska they have \""reindeer dogs\"", which are made from caribou meat."", ""there's all beef hotdogs""]",Yes but some are still not all beef they add other ingredients especially the hot dogs that are in corn dogs just a fun fact.,Hot dog variants include the corn dog and pig in a blanket.,HALLUCINATION,"{""surface"": ""they"", ""span"": [36, 40]}","{""mentions"": [{""surface"": ""hot dogs"", ""span"": [0, 7, 15]}, {""surface"": ""hot dogs"", ""span"": [2, 45, 53]}, {""surface"": ""hotdogs"", ""span"": [4, 17, 24]}]}"
fdt__56___4,fdt__56___4--0,"[""I am really interested in going into the accounting field, what can you tell me about it ?"", ""Accounting is the measuring, processing, and communication of financial information about businesses and corporations. What makes you interested in it?"", ""i like handling financial affairs and i think i would be good at helping others"", ""Do you want to go into financial accounting, management accounting, tax accounting, or cost accounting?"", ""management accounting seems like where its at right now"", ""Oh, OK. Well, I have some history on accounting, it was established in 1494 by an Italian mathematician."", ""what was that gentleman's name ?"", ""His name was Luca Pacioli."", ""ah i think i have heard of him""]",He was also a Franciscan friar and had collaborated with Leonardo da Vinci.,"Fra Luca Bartolomeo de Pacioli (sometimes ''Paccioli'' or ''Paciolo''; 1447–1517) was an Italian mathematician, Franciscan friar, collaborator with Leonardo da Vinci, and a seminal contributor to the field now known as accounting.",NON-HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Luca Pacioli"", ""span"": [7, 13, 25]}]}"
fdt__62___0,fdt__62___0--0,"[""Colors are a lot of fun. My favorite to use in art is green.""]",I also like green.  It is right between yellow and blue on the color wheel,Green is the color between blue and yellow on the visible spectrum.,HALLUCINATION,"{""surface"": ""It"", ""span"": [20, 22]}","{""mentions"": [{""surface"": ""green"", ""span"": [0, 54, 59]}]}"
fdt__66___0,fdt__66___0--0,"[""When was discovery channel formed?""]",In 1985 but you can refer to it as simply Discovery),"Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",NON-HALLUCINATION,"{""surface"": ""it"", ""span"": [29, 31]}","{""mentions"": [{""surface"": ""discovery channel"", ""span"": [0, 9, 26]}]}"
fdt__66___1,fdt__66___1--0,"[""When was discovery channel formed?"", ""In 1985, but you can refer to it as simply Discovery."", ""Is it government owned?""]","No actually,  it is television property of Discovery Communications, a publicly traded company","Discovery Channel (known as The Discovery Channel from 1985 to 1995, and often referred to as simply Discovery) is an American basic cable and satellite television channel (which is also delivered via IPTV, terrestrial television and internet television in other parts of the world) that is the flagship television property of Discovery Communications, a publicly traded company run by CEO David Zaslav.",NON-HALLUCINATION,"{""surface"": ""it"", ""span"": [14, 16]}","{""mentions"": [{""surface"": ""discovery channel"", ""span"": [0, 9, 26]}, {""surface"": ""Discovery"", ""span"": [1, 43, 52]}]}"
fdt__70___1,fdt__70___1--0,"[""I have a sweet tooth and I eat a lot of Dylan's Candy Bar."", ""Really? Isn't that the one Dylan Lauren, Ralph Lauren's daughter, owns?"", ""I haven't heard about it. All I know is this candy bar is delicious!""]","Yes, she owns the chain! Dylan's candy bar is stocked over 7,000 around the world.","It stocks 7,000 candies from around the world.",HALLUCINATION,"{""surface"": ""she"", ""span"": [5, 8]}","{""mentions"": [{""surface"": ""Dylan Lauren"", ""span"": [1, 27, 39]}]}"
fdt__73___0,fdt__73___0--0,"[""Green is one of my favorite colors. What about yours?""]",Same here! Green is a wonderful colour. It's the colour between blue and yellow on the visible spectrum of light.,Green is the color between blue and yellow on the visible spectrum.,HALLUCINATION,"{""surface"": ""It"", ""span"": [40, 42]}","{""mentions"": [{""surface"": ""Green"", ""span"": [0, 0, 5]}]}"
fdt__78___2,fdt__78___2--0,"[""I just love the color green dont you"", ""I don't really have opinions about colors. Since you brought the color green up, let me tell you that it is the color between yellow and blue on the visible spectrum"", ""I didn't know that,  I mainly like it because it is the color of nature, trees, grass, it is soothing"", ""Interestingly, chlorophyll is the biggest contributor to green in nature!"", ""I never thought about it in terms of chlorophyll, that is quite interesting""]","It is VERY important in photosynthesis, which allows plants to absorb energy from the light!  My high school science teacher would be proud of me for remembering that!","Chlorophyll is essential in photosynthesis, allowing plants to absorb energy from light.",HALLUCINATION,"{""surface"": ""It"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""chlorophyll"", ""span"": [3, 15, 26]}, {""surface"": ""chlorophyll"", ""span"": [4, 37, 48]}]}"
fdt__80___0,fdt__80___0--0,"[""What do you know about ireland?""]",Are you referring to the island in the North Atlantic? It has a population of 6.6 million people. Why do you ask?,Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.,HALLUCINATION,"{""surface"": ""It"", ""span"": [55, 57]}","{""mentions"": [{""surface"": ""ireland"", ""span"": [0, 23, 30]}]}"
fdt__81___0,fdt__81___0--0,"[""Have you ever been to Ireland? Ive seen pictures from a friend who went and it looks pretty""]",No I have never been there but I would love to visit this island in the North Atlantic. I agree that it looks beautiful!,Ireland (; ; Ulster-Scots: ) is an island in the North Atlantic.,HALLUCINATION,"{""surface"": ""it"", ""span"": [101, 103]}","{""mentions"": [{""surface"": ""Ireland"", ""span"": [0, 22, 29]}]}"
fdt__90___0,fdt__90___0--0,"[""Do you enjoy watching cheerleading?""]",yes i do because it is an event where cheer cheerleaders cheer  for their team as a form of encouragement.,Cheerleading is an activity wherein the participants (referred to as ''cheerleaders'') cheer for their team as a form of encouragement.,HALLUCINATION,"{""surface"": ""it"", ""span"": [17, 19]}","{""mentions"": [{""surface"": ""cheerleading"", ""span"": [0, 22, 34]}]}"
fdt__91___0,fdt__91___0--0,"[""Hey have you ever been to Ireland? My friend just got back funny enough.""]",I haven't! I heard it was the third biggest island in all of Europe though.,Ireland is the third-largest island in Europe.,NON-HALLUCINATION,"{""surface"": ""it"", ""span"": [19, 21]}","{""mentions"": [{""surface"": ""Ireland"", ""span"": [0, 26, 33]}]}"
fdt__93___1,fdt__93___1--0,"[""Someone suggested to me that I would enjoy John Grisham books. Can you tell me a little about him?"", ""John Ray Grisham Jr is best known for writing popular legal thrillers.  Do you like those kinds of books?"", ""Im not really sure. It does sound interesting though. Does he still write?""]","He does, and as of 2012 all of his books had sold over 275 million copies across the globe","As of 2012, his books have sold over 275 million copies worldwide.",HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""John Grisham"", ""span"": [0, 43, 55]}, {""surface"": ""John Ray Grisham Jr"", ""span"": [1, 0, 19]}]}"
fdt__95___0,fdt__95___0--0,"[""I love John Grisham movies and books,can you tell me more about him?""]","He was born February 8, 1955 and is an american bestselling writer, attorney, politician, and activist","John Ray Grisham Jr. (; born February 8, 1955) is an American bestselling writer, attorney, politician, and activist best known for his popular legal thrillers.",NON-HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""John Grisham"", ""span"": [0, 7, 19]}]}"
fdt__96___3,fdt__96___3--0,"[""I help design video games for a living. More on the concept side, less on the actual building! Do you play?"", ""Oh, awesome! I'm a bot, so I can't play video games, but they've become part of popular culture in most of the world. What games do you design?"", ""Educational, primarily for grade school age children. And yes, they are officially *enmeshed* in our culture for better or worse. I try to work for the better!"", ""What platforms do you design games for -- PCs, video game consoles, etc.?"", ""Primarily for iPads and tablets, since so many schools now distribute them to kids. I feel fortunate our boys are in a school district that distributes iPads for school use."", ""Ah, I see. The indie game industry has seen a lot of growth in the iOS market."", ""Apple was super smart -- they realized the device was just the *delivery* system. It's all the apps and game and music downloads that bring the ka-ching!""]","Yep, and new the iPad is the second-most popular kind of tablet.  Apple knows what they are doing!","As of January 2015, Apple had sold more than 250 million iPads, though sales peaked in 2013 and it is now the second-most popular kind of tablet computer, by sales, after Android-based types.",HALLUCINATION,"{""surface"": ""they"", ""span"": [83, 87]}","{""mentions"": [{""surface"": ""Apple"", ""span"": [6, 0, 5]}]}"
fdt__100___0,fdt__100___0--0,"[""I just finished painting my bedroom my favorite color, green.""]",I love green. It is between blue and yellow on the spectrum of visible light.,Green is the color between blue and yellow on the visible spectrum.,HALLUCINATION,"{""surface"": ""It"", ""span"": [14, 16]}","{""mentions"": [{""surface"": ""green"", ""span"": [0, 55, 60]}]}"
fdt__102___1,fdt__102___1--0,"[""I have never been to Ireland before."", ""Oh, the island in the North Atlantic? That's interesting."", ""Is Ireland part of the UK?""]",yes in fact It is separated from Great Britain to its east by the North Channel,"It is separated from Great Britain to its east by the North Channel, the Irish Sea, and St George's Channel.",HALLUCINATION,"{""surface"": ""It"", ""span"": [12, 14]}","{""mentions"": [{""surface"": ""Ireland"", ""span"": [0, 21, 28]}, {""surface"": ""Ireland"", ""span"": [2, 3, 10]}]}"
fdt__111___0,fdt__111___0--0,"[""I have become interested in archery!  I am not very good, but am trying to learn more about the sport!""]","Well Archery is the sport, so it is dangerous so you should learn at your own pace.","Archery is the sport, practice or skill of using a bow to propel arrows.",HALLUCINATION,"{""surface"": ""it"", ""span"": [30, 32]}","{""mentions"": [{""surface"": ""archery"", ""span"": [0, 28, 35]}]}"
fdt__112___1,fdt__112___1--0,"[""Ever since I saw Forest Gump a few weeks ago, I like to listen to Elvis Presley."", ""Cool, he's regarded as an cultural icon of the 1900s. Is he your favorite?"", ""He is starting to be but I don't know much, why is he the King of Rock and Roll?""]","He was a singer who skyrocketed rockabilly music into the charts worldwide, combining his singing with his band's talent.","Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.",HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"":[{""surface"":""Elvis Presley"",""span"":[0,66,79]}]}"
fdt__112___3,fdt__112___3--0,"[""Ever since I saw Forest Gump a few weeks ago, I like to listen to Elvis Presley."", ""Cool, he's regarded as an cultural icon of the 1900s. Is he your favorite?"", ""He is starting to be but I don't know much, why is he the King of Rock and Roll?"", ""Well, he was a pioneer for rockabilly, which is a fusion of country and blues and rhythm."", ""What is his most famous song?"", ""Not sure about his most famous but one single, \""Heartbreak Hotel\"" came out and became the top hit in the US."", ""Did he win any awards?""]","He did. ''Heartbreak Hotel'' won him a Platinum award, as well as multiple Grammy nominations.",''Heartbreak Hotel'' was certified Platinum by the RIAA.,HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Elvis Presley"", ""span"": [0, 66, 79]}]}"
fdt__112___4,fdt__112___4--0,"[""Ever since I saw Forest Gump a few weeks ago, I like to listen to Elvis Presley."", ""Cool, he's regarded as an cultural icon of the 1900s. Is he your favorite?"", ""He is starting to be but I don't know much, why is he the King of Rock and Roll?"", ""Well, he was a pioneer for rockabilly, which is a fusion of country and blues and rhythm."", ""What is his most famous song?"", ""Not sure about his most famous but one single, \""Heartbreak Hotel\"" came out and became the top hit in the US."", ""Did he win any awards?"", ""Can't say although \""Heartbreak Hotel\"" got platinum by the RIAA."", ""How did he die?""]","He passed away on August 16th, 1977.","Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.",NON-HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Elvis Presley"", ""span"": [0, 66, 79]}]}"
fdt__113___0,fdt__113___0--0,"[""Cardigans make me look dapper.""]",I agree. They're associated with the Roaring Twenties which had many classy dressing styles.,"The garment is mostly associated with the college culture of the Roaring Twenties and early 1930s, being also popular throughout the 1950s, the 1970s and the 1990s.",HALLUCINATION,"{""surface"": ""They"", ""span"": [9, 13]}","{""mentions"": [{""surface"": ""Cardigans"", ""span"": [0, 0, 9]}]}"
fdt__115___0,fdt__115___0--0,"[""My parents just adopted a yappy little Chihuahua. Not so sure I'm stoked about the idea. I don't really know if they have any redeemable or interesting qualities, do you?""]","Well, they descended from the Techichi, which was a favorite dog of the Toltec civilation in Mexico","The most common theory is that Chihuahuas are descended from the ''Techichi'', a companion dog favored by the Toltec civilization in Mexico.",NON-HALLUCINATION,"{""surface"": ""they"", ""span"": [6, 10]}","{""mentions"": [{""surface"": ""Chihuahua"", ""span"": [0, 39, 48]}]}"
fdt__115___2,fdt__115___2--0,"[""My parents just adopted a yappy little Chihuahua. Not so sure I'm stoked about the idea. I don't really know if they have any redeemable or interesting qualities, do you?"", ""Well, they descended from the Techichi, which was a favorite dog of the Toltec civilization in Mexico."", ""Yeah, I imagined they would come from Mexico. I still don't understand why they're so small, though. Did they just get bred that way somehow?"", ""Well the earliest evidence show that they were around in 100 AD, so as far as breeding I do not know"", ""Ah, that's alright. I guess it's kind of cool that they've been around that long. They must have a long and rich heritage, huh? Have they done anything cool since they've been around for so long?""]",Besides being fans of Taco Bell?  Well they were buried in ancient shaft tombs back in 300 BC,"No records of the Techichi are available prior to the 9th century, although dog pots from Colima, Mexico, buried as part of the western Mexico shaft tomb tradition which date back to 300 BC are thought to depict Techichis.",HALLUCINATION,"{""surface"": ""they"", ""span"": [39, 43]}","{""mentions"": [{""surface"": ""Chihuahua"", ""span"": [0, 39, 48]}]}"
fdt__116___1,fdt__116___1--0,"[""What is your favorite thing to post on Instagram?"", ""I am a bot so posting on Instagram is not possible to me, what about you, are you a registered user on Instagram? I know that it is possible to upload photos or videos there"", ""Yes, I love posting everything on Instagram and Facebook as well""]",it's actually owned by Facebook,It is owned by Facebook.,NON-HALLUCINATION,"{""surface"": ""it"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Instagram"", ""span"": [0, 39, 48]}, {""surface"": ""Instagram"", ""span"": [1, 25, 34]}, {""surface"": ""Instagram"", ""span"": [1, 103, 112]}, {""surface"": ""Instagram"", ""span"": [2, 34, 43]}]}"
fdt__117___0,fdt__117___0--0,"[""Do you like the tv show The Walking Dead? I forget what channel it's on.""]","Ive never been a huge fan, but my boyfriend likes it. Its an american horror show on AMC","The Walking Dead is an American post-apocalyptic horror television series developed by Frank Darabont for AMC that is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",HALLUCINATION,"{""surface"": ""it"", ""span"": [50, 52]}","{""mentions"": [{""surface"": ""Walking Dead"", ""span"": [0, 28, 40]}]}"
