context_id,id,context,claim,evidence_text,response_label,pronoun_info,referent_info
fdr__413___2,fdr__413___2--0,"[""Have you ever seen the movie The Last of the Mohicans? My husband loves it, but I've never seen it."", ""All I know about this movies is that is was released in 1992 and set in 1757"", ""I didn't realize it's been out that long! What is it about?"", ""Well The Last of the Mohicans is an epic historical drama. It was set in 1757 during the Indian and French war."", ""That explains why my husband likes it, he loves war movies. Who stars in the movie?""]",The great Daniel Day-Lewis was in The Last of the Mohicans. It also stars Jodhi May and Madeleine Stowe.,"The film stars Daniel Day-Lewis, Madeleine Stowe, and Jodhi May, with Russell Means, Wes Studi, Eric Schweig, and Steven Waddington in supporting roles.",HALLUCINATION,"{""surface"": ""It"", ""span"": [60, 62]}","{""mentions"": [{""surface"": ""The Last of the Mohicans"", ""span"": [0, 29, 53]}, {""surface"": ""The Last of the Mohicans"", ""span"": [3, 5, 29]}]}"
fdr__418___1,fdr__418___1--0,"[""I just ate lunch and had some really good fries."", ""Fries comes by different names depending on the English. North American calls it French fries but British English refers to it as chips."", ""Oh that's new I never knew that. Do the other countries add something other than ketchup?""]","Yes,  prefer to eat less carbs, but when I eat them I prefer them alone sauce instead of ketchup, as they are usually served.","Fries in America are generally salted and are almost always served with ketchup, but in many countries they have other condiments or toppings, like vinegar, mayonnaise, or other local specialties.",HALLUCINATION,"{""surface"": ""they"", ""span"": [101, 105]}","{""mentions"": [{""surface"": ""fries"", ""span"": [0, 42, 47]}, {""surface"": ""Fries"", ""span"": [1, 0, 5]}, {""surface"": ""French fries"", ""span"": [1, 81, 93]}, {""surface"": ""chips"", ""span"": [1, 130, 135]}]}"
fdr__418___2,fdr__418___2--0,"[""I just ate lunch and had some really good fries."", ""Fries comes by different names depending on the English. North American calls it French fries but British English refers to it as chips."", ""Oh that's new I never knew that. Do the other countries add something other than ketchup?"", ""Yes, other countries use different condiments or toppings on the fries. Some examples would be vinegar and mayonnaise."", ""I guess you get the full flavor that way. Ketchup and potato chips go well together too. I like the crinkle cut fries too.""]","They can also be topped more heavily, as in poutine and chilli cheese fries.  I also like them a lot with Bernaise sauce.","Fries can be topped more heavily, as in the dishes of poutine and chili cheese fries.",HALLUCINATION,"{""surface"": ""They"", ""span"": [0, 4]}","{""mentions"": [{""surface"": ""fries"", ""span"": [0, 42, 47]}, {""surface"": ""Fries"", ""span"": [1, 0, 5]}, {""surface"": ""French fries"", ""span"": [1, 81, 93]}, {""surface"": ""chips"", ""span"": [1, 130, 135]}, {""surface"": ""fries"", ""span"": [3, 65, 70]}, {""surface"": ""fries"", ""span"": [4, 112, 117]}]}"
fdr__420___4,fdr__420___4--0,"[""The beach is my happy place.  Do you like the beach?"", ""As a bot, I can't go to beaches. Have you ever been on a wild beach, one that hasn't been developed?"", ""Wild beaches?  I''m not familiar with that term."", ""Oh, I don't know anything more about them, but I know of a small town called Byala on the Black Sea Coast of Bulgaria that has a seaside resort. Would that interest you?"", ""Oh, that sound neat. Where exactly is the Black Sea?"", ""You can find the Black Sea off the Atlantic Ocean. It sits between Eastern Europe and Western Asia next to the Caucasus."", ""I've never been there but my nephew married someone from Bulgaria.  I should plan a trip with her to visit the beaches."", ""Cool! There is also the Baltic Sea, which is by Scandinavia, Finland and the Baltic countries. Does that sound interesting to you?"", ""I appreciate you opening my eyes to this interesting topic.  I am going to plan an awesome trip!!!""]",Absolutely! If you do end up going make sure to touch up on your Finnish! Almost 88.7% of the population of Finland speaks it.,"88.7% of the population is Finnish and speaks Finnish, a Uralic language unrelated to the Scandinavian languages; next come the Finland-Swedes (5.3%).",HALLUCINATION,"{""surface"": ""it"", ""span"": [123, 125]}","{""mentions"": [{""surface"": ""Finland"", ""span"": [7, 61, 68]}]}"
fdr__424___4,fdr__424___4--0,"[""I can't wait till autonomous cars are mainstream! Make my life so much easier!"", ""That sounds interesting. Would you like to have a vehicle able to sense the environment and navigate without the inputs from humans ?"", ""Yes, you plug in your address and enjoy the ride."", ""Experiments have been conducted on automating cars since at least the 1920s; promising trials took place in the 1950s and work has proceeded so far"", ""I think it would make the road a lot safer."", ""Yeah, they are required to have the ability to analyze data to distinguish differents cars"", ""Yes it's amazing what they can do."", ""I agree. Another subject interesting to know about is big data, which involves data sets so complex and voluminous that the traditional applications for data processing can't deal with them"", ""Yes I can't even begin to imagine how all that works. It's fascinating!""]","Of course in due course of time, things change - the term ''big data'' tends to refer to the use of predictive analytics, user behavior analytics, or certain other advanced data analytics methods that extract value from data, and seldom to a particular size of data set and it is changing forever.","Lately, the term ''big data'' tends to refer to the use of predictive analytics, user behavior analytics, or certain other advanced data analytics methods that extract value from data, and seldom to a particular size of data set.",HALLUCINATION,"{""surface"": ""it"", ""span"": [274, 276]}","{""mentions"": [{""surface"": ""big data"", ""span"": [7, 54, 62]}]}"
fdr__425___0,fdr__425___0--0,"[""I'm thinking about going on a vacation in Maine and was thinking about visiting Portland. Do you know of any cool places to go and visit in Portland?""]",Oh yes the Port of Portland largest seaport in New England you will enjoy touring it,The Port of Portland is the largest tonnage seaport in New England.,HALLUCINATION,"{""surface"": ""it"", ""span"": [82, 84]}","{""mentions"": [{""surface"": ""Portland"", ""span"": [0, 140, 148]}]}"
fdr__426___1,fdr__426___1--0,"[""I love cheese, what about you?"", ""I can't really say, because bots don't eat food!  I do know that if most cheeses are at cooking temperature, they melt."", ""Yeah, that is good. I like a large variety of cheeses.""]",Sometimes as well when you add other ingredients such as garlic or chives makes it even better,"Other ingredients may be added to some cheeses, such as black pepper, garlic, chives or cranberries.",HALLUCINATION,"{""surface"": ""it"", ""span"": [80, 82]}","{""mentions"": [{""surface"": ""cheese"", ""span"": [0, 7, 13]}, {""surface"": ""cheeses"", ""span"": [1, 73, 80]}, {""surface"": ""cheeses"", ""span"": [2, 46, 53]}]}"
fdr__427___3,fdr__427___3--0,"[""I bought Overwatch but I haven't played much of it."", ""Oh Overwatch! That's a multiplayer online game.  It's team based, and is a first person shooter game.  Blizzard Entertainment publishes it!"", ""It's been pretty fun so far, but I love the idea of it and all the characters."", ""Cool!  I understand there's 2 teams of 6?  And each player can select from over 20 characters, also known as heroes in game.  Each character has it's own style of play."", ""Yeah that sounds right.  I haven't figured out what the goal of the team is though!"", ""Oh!  Well it's all about securing and defending control points situated on a map.  Or escorting a payload across a map."", ""Oh, sounds a bit complicated, especially working on a team!  Have they added any new features to the game since it was released?""]","Blizzard has developed and added new characters, maps, and game modes post-release, so I think you should give it another try!","Additionally, Blizzard has developed and added new characters, maps, and game modes post-release, while stating that all ''Overwatch'' updates will remain free, with the only additional cost to players being microtransactions to earn additional cosmetic rewards.",HALLUCINATION,"{""surface"": ""it"", ""span"": [111, 113]}","{""mentions"": [{""surface"": ""Overwatch"", ""span"": [0, 9, 18]}, {""surface"": ""Overwatch"", ""span"": [1, 3, 12]}]}"
fdr__429___2,fdr__429___2--0,"[""i like running. According to a study by the University of Arkansas with 408 participants, running makes you more desirable. 80% of men and 60% of women actually felt more attractive due to regular running."", ""That's interesting information! Did you know long-distance running probably developed around 2.6 million years in the past?"", ""No, I didn't, that's amazing! What do you know about marathons? I'm thinking of joining one."", ""Well, a marathon is run over about 42 km or 26.2 miles. They're usually run over roads. Have you ever run one before?"", ""no but i really want to! i also want to keep going because those who run 20-30 km (12.4-18.6 miles) a week have a stronger immune system and are less prone to colds.""]",Yes! One of the many benefits! It's also considered to be the world's most accessible sport.,Running has been described as the world's most accessible sport.,HALLUCINATION,"{""surface"": ""It"", ""span"": [31, 33]}","{""mentions"": [{""surface"": ""running"", ""span"": [0, 7, 14]}, {""surface"": ""running"", ""span"": [0, 90, 97]}, {""surface"": ""running"", ""span"": [0, 197, 204]}, {""surface"": ""running"", ""span"": [1, 59, 66]}]}"
fdr__431___0,fdr__431___0--0,"[""Hi! Do you have red hair?""]","Hey, I don't have red hair, but my best friend does. It's a very rare color to have. Do you?",Red hair (or ginger hair) occurs naturally in 1–2% of the human population.,HALLUCINATION,"{""surface"": ""It"", ""span"": [53, 55]}","{""mentions"": [{""surface"": ""red hair"", ""span"": [0, 16, 24]}]}"
fdr__433___0,fdr__433___0--0,"[""I have never been to seattle but I would love to visit.""]","I would too. I read it's the fastest growing city in 2016, with a 3.1 annual growth rate.","In July 2016, Seattle was again the fastest-growing major U.S. city, with a 3.1% annual growth rate.",HALLUCINATION,"{""surface"": ""it"", ""span"": [20, 22]}","{""mentions"": [{""surface"": ""seattle"", ""span"": [0, 21, 28]}]}"
fdr__433___3,fdr__433___3--0,"[""I have never been to seattle but I would love to visit."", ""Well, did you know that it was the fastest growing city in 2016? It grew by 3.1%."", ""Wow, I bet it is really busy and crowded."", ""I believe it said there were over 700,000 residents just in Seattle and it is the largest city in Washington also."", ""I would hate to drive there. I'm assuming people use a lot of public transportation."", ""I don't know the transportation situation, but it is the fourth-largest North American port."", ""Oh, that's interesting. Do you know anything of the history of Seattle?""]",It used to have only Native Americans for at least four thousand years beofre the first European settlers came here.,"The Seattle area was previously inhabited by Native Americans for at least 4,000 years before the first permanent European settlers.",NON-HALLUCINATION,"{""surface"": ""It"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""seattle"", ""span"": [0, 21, 28]}, {""surface"": ""Seattle"", ""span"": [3, 60, 67]}, {""surface"": ""Seattle"", ""span"": [6, 63, 70]}]}"
fdr__434___2,fdr__434___2--0,"[""i love mcdonalds it might be the best fast food place ever"", ""Oh do you!  They were founded in 1940 in California.  The first restaurant was run by Maurice and Richard McDonald."", ""O wow that is such a long time ago!"", ""yea and the first time a franchise used the golden arches logo was in 1953 in Phoenix Arizona"", ""Do you know how many locations they have now""]","Mcdonalds is the world's largest chain, they serve over 69 million customers daily and have approximately 36,900 outlets as of 2016","McDonald's is the world's largest restaurant chain by revenue, serving over 69 million customers daily in over 100 countries across approximately 36,900 outlets as of 2016.",NON-HALLUCINATION,"{""surface"": ""they"", ""span"": [40, 44]}","{""mentions"": [{""surface"": ""mcdonalds"", ""span"": [0, 7, 16]}]}"
fdr__437___0,fdr__437___0--0,"[""Game of Thrones is my favorite show ever! Have you ever seen it?""]","Yes! I love it so much, the TV series was  created by David Benioff and D. B. Weiss.",Game of Thrones is an American fantasy drama television series created by David Benioff and D. B. Weiss.,HALLUCINATION,"{""surface"": ""it"", ""span"": [12, 14]}","{""mentions"": [{""surface"": ""Game of Thrones"", ""span"": [0, 0, 15]}]}"
fdr__438___1,fdr__438___1--0,"[""I really love Kentucky, I was born and raised here, Have you ever been there?"", ""No!  Since I'm a bot I cannot travel.  Did you know the official name of the state is the Commonwealth  of Kentucky?"", ""Oh ok, I have lived here for quite some time but dont really know too much about it, What are some cool Kentucky facts that you know?""]","They are known for horse racing, bourbon distilleries and moonshine..I definitely need to visit this place to get some real bourbon apparently ha","Kentucky is also known for horse racing, bourbon distilleries, moonshine, coal, the historic site My Old Kentucky Home, automobile manufacturing, tobacco, bluegrass music, college basketball, and Kentucky Fried Chicken.",HALLUCINATION,"{""surface"": ""They"", ""span"": [0, 4]}","{""mentions"": [{""surface"": ""Kentucky"", ""span"": [0, 14, 22]}, {""surface"": ""Commonwealth  of Kentucky"", ""span"": [1, 90, 115]}, {""surface"": ""Kentucky"", ""span"": [2, 104, 112]}]}"
fdr__438___2,fdr__438___2--0,"[""I really love Kentucky, I was born and raised here, Have you ever been there?"", ""No!  Since I'm a bot I cannot travel.  Did you know the official name of the state is the Commonwealth  of Kentucky?"", ""Oh ok, I have lived here for quite some time but dont really know too much about it, What are some cool Kentucky facts that you know?"", ""Oh I know a few!  It's known for so many things, like bourbon distilleries, moonshine, auto manufacturing, coal, tobacco, college basketball, horse racing and bluegrass music!"", ""I have never actually been to a horse race in Kentucky, Where is the derby held at anyways?""]","Louisville Kentencky, It ends the Kentucky Derby Festival usually","The Kentucky Derby presented by Woodford Reserve is a horse race that is held annually in Louisville, Kentucky, United States, on the first Saturday in May, capping the two-week-long Kentucky Derby Festival.",NON-HALLUCINATION,"{""surface"": ""It"", ""span"": [22, 24]}","{""mentions"": [{""surface"": ""the derby"", ""span"": [4, 65, 74]}]}"
fdr__441___0,fdr__441___0--0,"[""What do you know about the Chevrolet Corvette?""]","The Chevy Corvette, or ''Vette'' as it is knbown, is an iconic American sports car that has been produced for half a century.","The Chevrolet Corvette, known colloquially as the Vette or Chevy Corvette, is a sports car manufactured by Chevrolet.",HALLUCINATION,"{""surface"": ""it"", ""span"": [36, 38]}","{""mentions"": [{""surface"": ""the Chevrolet Corvette"", ""span"": [0, 23, 45]}]}"
fdr__441___2,fdr__441___2--0,"[""What do you know about the Chevrolet Corvette?"", ""Well, I know that is is also called Vetty or Chevy Corvette, and is manufactured by Chevrolet"", ""Do you remember the Prince song Little Red Corvette?"", ""Do you mean the song he released in 1983 on his album ''1999''?"", ""That's right.  Wonder how much a Corvette costs nowadays""]","About 60,000.  The Chevy Corvette is the official sports car of the state of Kentucky;  It is produced in Bowling Green.","Originally built in Flint, Michigan and St. Louis, Missouri, the Corvette is currently manufactured in Bowling Green, Kentucky and is the official sports car of the Commonwealth of Kentucky.",HALLUCINATION,"{""surface"": ""It"", ""span"": [88, 90]}","{""mentions"": [{""surface"": ""Chevrolet Corvette"", ""span"": [0, 27, 45]}, {""surface"": ""Vetty"", ""span"": [1, 36, 41]}, {""surface"": ""Chevy Corvette"", ""span"": [1, 45, 59]}, {""surface"": ""Corvette"", ""span"": [4, 33, 41]}]}"
fdr__442___2,fdr__442___2--0,"[""I don't know much about radiology, but one of my cousins is a radiologist. It must take a lot of studying to qualify to do that job."", ""Hmm I don't know what education is needed for that.   I do know that by using imaging, diseases can be diagnosed and sometimes treated.  Radiology is a science!"", ""You mean like x-rays? I've had plenty of those - broken hip."", ""Well there are a variety of imaging techniques, and one is x-ray."", ""What other forms of imaging techniques does a radiologist use?""]",They also use ultrasound and CT.,"A variety of imaging techniques such as X-ray radiography, ultrasound, computed tomography (CT), nuclear medicine including positron emission tomography (PET), and magnetic resonance imaging (MRI) are used to diagnose and/or treat diseases.",NON-HALLUCINATION,"{""surface"": ""They"", ""span"": [0, 4]}","{""mentions"": [{""surface"": ""a radiologist"", ""span"": [4, 44, 57]}]}"
fdr__443___1,fdr__443___1--0,"[""Yellow is a distinctive color. It is my favorite color"", ""Oh, that's cool. Did you know it sits between orange and green in the light spectrum?"", ""I did. I also know it's a primary color in printing systems. Do you happen to know what wavelength it is?""]",It is evoked by light,It is evoked by light with a dominant wavelength of roughly 570590 nm.,HALLUCINATION,"{""surface"": ""It"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Yellow"", ""span"": [0, 0, 6]}]}"
fdr__443___2,fdr__443___2--0,"[""Yellow is a distinctive color. It is my favorite color"", ""Oh, that's cool. Did you know it sits between orange and green in the light spectrum?"", ""I did. I also know it's a primary color in printing systems. Do you happen to know what wavelength it is?"", ""Yes, it is at roughly 570590 nm. Do you have a favorite shade?"", ""No, I like them all! It's easy to see since it's a primary color for painting or printing.""]",It is a primary color in subtractive color system,"It is a primary color in subtractive color systems, used in painting or color printing.",NON-HALLUCINATION,"{""surface"": ""It"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Yellow"", ""span"": [0, 0, 6]}]}"
fdr__445___2,fdr__445___2--0,"[""I have a cat! It sounds like meow.."", ""Cool, do you?  I know that they are usually carniverous, and furry."", ""There's some other terms for cats, right?"", ""Well when kept as pets they tend to be called house cats.  This distinguishes them from other felines and felids."", ""OK ,are there different breeds of cats like dogs?""]","Yes, there are many. They are valued by humans and kept as well to take care of vermin.",They are often valued by humans for companionship and for their ability to hunt vermin.,HALLUCINATION,"{""surface"": ""They"", ""span"": [21, 25]}","{""mentions"": [{""surface"": ""cats"", ""span"": [2, 29, 33]}, {""surface"": ""house cats"", ""span"": [3, 46, 56]}, {""surface"": ""cats"", ""span"": [4, 34, 38]}]}"
fdr__447___0,fdr__447___0--0,"[""I like chocolate what  of you""]","I love chocolate! It is a sweet, brown food prepared from cacao seeds.","Chocolate is a typically sweet, usually brown food preparation of ''Theobroma cacao'' seeds, roasted and ground.",HALLUCINATION,"{""surface"": ""It"", ""span"": [18, 20]}","{""mentions"": [{""surface"": ""chocolate"", ""span"": [0, 7, 16]}]}"
fdr__447___3,fdr__447___3--0,"[""I like chocolate what  of you"", ""I really can't say.  I have never eaten it, I'm a bot.  It's a sweet brown food made of roasted and ground cacao seeds, right?"", ""Yes!  Do you know anything about how it's made?"", ""Well they heat the cocoa mass to liquify it, and it becomes chocolate liquor."", ""Tell me more about chocolate  liquor"", ""Sure, it contains cocoa butter and cocoa solids in equal proportion, roughly speaking."", ""Hmm okay.  I've always wondered what baking chocolate is, do you know?""]",Baking chocolate contains cocoa solids without any added sugar. It is used to make cakes and brownies.,"Baking chocolate, also called bitter chocolate, contains cocoa solids and cocoa butter in varying proportions, without any added sugars.",HALLUCINATION,"{""surface"": ""It"", ""span"": [64, 66]}","{""mentions"": [{""surface"": ""baking chocolate"", ""span"": [6, 37, 53]}]}"
fdr__448___3,fdr__448___3--0,"[""I've never tried skateboarding. Is it dangerous?"", ""I can't speak to how dangerous it is, but it is a sport with lots of action, and involves performing tricks with a skateboard. Are you interested in trying it?"", ""Maybe, how long has it been around?"", ""I'm not sure how long skateboarding itself has been around, but skateparks have been around since the 1970s, and also get used by BMXers, skates, and scooter riders. What else would you like to know?"", ""Are there any famous ones?"", ""I don't know of any, but it is a $4.8 billion business with over 11 million skateboarders worldwide."", ""Oh wow. Should I wear a helmet?""]","I think so if you are just beginning, skateboarding has been influenced by so many skateboarders through the years, and I'm sure they advocate safety first.",Skateboarding has been shaped and influenced by many skateboarders throughout the years.,HALLUCINATION,"{""surface"": ""they"", ""span"": [129, 133]}","{""mentions"": [{""surface"": ""skateboarders"", ""span"": [5, 76, 89]}]}"
fdr__449___3,fdr__449___3--0,"[""I've heard Nicholas Sparks is a great writer but i'm not sure if i've ever read any of his books"", ""Well, his first popular novel was The Notebook. Have you heard of that one?"", ""Oh, i've watched a movie it was great"", ""Yes, the novel came out in 1996, and was a best seller in the first week."", ""how cool! it was a very good movie! i cried a lot! I wanna know more about this autor"", ""Well just some background, he was born in Omaha, Nebraska and wrote his first novel in 1985 while he was a student at the University of Notre Dame."", ""wow, do you know the name of his first novel?""]","Yes it was called The Passing, though his first published work didn't come until 1990.","Sparks was born in Omaha, Nebraska and wrote his first novel, ''The Passing'', in 1985, while a student at the University of Notre Dame.",HALLUCINATION,"{""surface"": ""it"", ""span"": [4, 6]}","{""mentions"": [{""surface"": ""his first novel"", ""span"": [5, 68, 83]}, {""surface"": ""his first novel"", ""span"": [6, 29, 44]}]}"
fdr__449___4,fdr__449___4--0,"[""I've heard Nicholas Sparks is a great writer but i'm not sure if i've ever read any of his books"", ""Well, his first popular novel was The Notebook. Have you heard of that one?"", ""Oh, i've watched a movie it was great"", ""Yes, the novel came out in 1996, and was a best seller in the first week."", ""how cool! it was a very good movie! i cried a lot! I wanna know more about this autor"", ""Well just some background, he was born in Omaha, Nebraska and wrote his first novel in 1985 while he was a student at the University of Notre Dame."", ""wow, do you know the name of his first novel?"", ""Yes, I do! It was called The Passing, and he wrote it in 1985."", ""what was the passing about?""]",I'm not sure to be honest I've never read it. His first published book was called Wokini: A Lakota Journey to Happiness and Self-Understanding just for reference.,"His first published work came in 1990, when he co-wrote with Billy Mills ''Wokini: A Lakota Journey to Happiness and Self-Understanding'', which sold approximated 50,000 copies in its first year.",HALLUCINATION,"{""surface"": ""it"", ""span"": [42, 44]}","{""mentions"": [{""surface"": ""The Passing"", ""span"": [7, 25, 36]}, {""surface"": ""the passing"", ""span"": [8, 9, 20]}]}"
fdr__450___2,fdr__450___2--0,"[""Hollywood seems like such a strange place to me.  Never been though so what do I know!"", ""I see. Well it has a strange origin story. Supposedly the name comes from a Chinese man who said he was hauling wood."", ""No way.  Are you kidding?"", ""Nope, the name was coined by HJ Whitley also known as the ''Father of Hollywood.''"", ""Why was he the father of hollywood?  Film guy?""]","No, he was the guy who talked to the Chinese man, which happened in 1886.","According to the diary of H. J. Whitley, known as the ''Father of Hollywood,'' on his honeymoon in 1886 he stood at the top of the hill looking out over the valley.",HALLUCINATION,"{""surface"": ""he"", ""span"": [4, 6]}","{""mentions"": [{""surface"": ""HJ Whitley"", ""span"": [3, 29, 39]}, {""surface"": ""Father of Hollywood"", ""span"": [3, 60, 79]}, {""surface"": ""father of hollywood"", ""span"": [4, 15, 34]}]}"
fdr__450___4,fdr__450___4--0,"[""Hollywood seems like such a strange place to me.  Never been though so what do I know!"", ""I see. Well it has a strange origin story. Supposedly the name comes from a Chinese man who said he was hauling wood."", ""No way.  Are you kidding?"", ""Nope, the name was coined by HJ Whitley also known as the ''Father of Hollywood.''"", ""Why was he the father of hollywood?  Film guy?"", ""I'm afraid I have no idea, but the story goes in 1886 he was standing on a hill overlooking the valley."", ""Geez, what else don't I know?  Make me feel more stupid, ha."", ""Well the area was initially known as the Cahuenga Valley after a pass in the Santa Monica mountains."", ""Must have been an interesting land.""]","Yup, today it is a famed resort town due to its climate.","Due in part to an agreeable climate, Santa Monica became a famed resort town by the early 20th century.",NON-HALLUCINATION,"{""surface"": ""it"", ""span"": [11, 13]}","{""mentions"": [{""surface"": ""Santa Monica"", ""span"": [7, 77, 89]}]}"
